eval_root,wnid,class_name,is_erased_concept,num_images,top1_correct,top5_correct,top1_accuracy,top5_accuracy,target_confidence
sd_v15,n01440764,tench,False,100,90,99,0.9,0.99,0.39109116766601804
sd_v15,n02102040,english springer,False,100,100,100,1.0,1.0,0.38366864778101445
sd_v15,n02979186,cassette player,False,100,8,100,0.08,1.0,0.10412685913965106
sd_v15,n03000684,chain saw,False,100,78,93,0.78,0.93,0.36424509025004226
sd_v15,n03028079,church,False,100,86,100,0.86,1.0,0.4790414087288082
sd_v15,n03394916,french horn,False,100,100,100,1.0,1.0,0.4829189079999924
sd_v15,n03417042,garbage truck,False,100,91,100,0.91,1.0,0.36358615547418593
sd_v15,n03425413,gas pump,False,100,86,98,0.86,0.98,0.3174900443851948
sd_v15,n03445777,golf ball,True,100,99,99,0.99,0.99,0.4684742872370407
sd_v15,n03888257,parachute,False,100,93,99,0.93,0.99,0.4402543842140585
